dataset,ablation,n,train_mean,train_std,val_mean,val_std,test_mean,test_std,train_size,val_size,test_size,split_policy,selection_rule,train_mean_%,train_std_%,val_mean_%,val_std_%,test_mean_%,test_std_%
chameleon,pca_only,10,0.9571428571428571,0.014309696743279962,0.7072702331961591,0.01969032689505155,0.706140350877193,0.018172226454175523,1092,729,456,fixed_geom_gcn_split_id_0;fixed_geom_gcn_split_id_1;fixed_geom_gcn_split_id_2;fixed_geom_gcn_split_id_3;fixed_geom_gcn_split_id_4;fixed_geom_gcn_split_id_5;fixed_geom_gcn_split_id_6;fixed_geom_gcn_split_id_7;fixed_geom_gcn_split_id_8;fixed_geom_gcn_split_id_9,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,95.71428571428571,1.4309696743279963,70.72702331961591,1.969032689505155,70.6140350877193,1.8172226454175524
chameleon,raw_only,10,0.9398351648351648,0.006389144838986892,0.44663923182441695,0.01211834935416731,0.44714912280701746,0.021247926611341186,1092,729,456,fixed_geom_gcn_split_id_0;fixed_geom_gcn_split_id_1;fixed_geom_gcn_split_id_2;fixed_geom_gcn_split_id_3;fixed_geom_gcn_split_id_4;fixed_geom_gcn_split_id_5;fixed_geom_gcn_split_id_6;fixed_geom_gcn_split_id_7;fixed_geom_gcn_split_id_8;fixed_geom_gcn_split_id_9,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,93.98351648351648,0.6389144838986892,44.66392318244169,1.211834935416731,44.714912280701746,2.124792661134119
chameleon,ridge_only,10,0.9718864468864469,0.016025204947843277,0.7160493827160493,0.027805753626905808,0.7162280701754387,0.017791863072019028,1092,729,456,fixed_geom_gcn_split_id_0;fixed_geom_gcn_split_id_1;fixed_geom_gcn_split_id_2;fixed_geom_gcn_split_id_3;fixed_geom_gcn_split_id_4;fixed_geom_gcn_split_id_5;fixed_geom_gcn_split_id_6;fixed_geom_gcn_split_id_7;fixed_geom_gcn_split_id_8;fixed_geom_gcn_split_id_9,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,97.18864468864469,1.6025204947843277,71.60493827160494,2.780575362690581,71.62280701754386,1.7791863072019027
chameleon,row_lowpass_only,10,0.9630036630036629,0.013976331160231939,0.7159122085048011,0.02193310355007893,0.7153508771929824,0.024018470088092478,1092,729,456,fixed_geom_gcn_split_id_0;fixed_geom_gcn_split_id_1;fixed_geom_gcn_split_id_2;fixed_geom_gcn_split_id_3;fixed_geom_gcn_split_id_4;fixed_geom_gcn_split_id_5;fixed_geom_gcn_split_id_6;fixed_geom_gcn_split_id_7;fixed_geom_gcn_split_id_8;fixed_geom_gcn_split_id_9,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,96.30036630036629,1.3976331160231938,71.59122085048011,2.1933103550078927,71.53508771929825,2.4018470088092476
chameleon,single_alpha,10,0.9239926739926739,0.0106968348400093,0.701920438957476,0.02114293252117882,0.700219298245614,0.026599550362317148,1092,729,456,fixed_geom_gcn_split_id_0;fixed_geom_gcn_split_id_1;fixed_geom_gcn_split_id_2;fixed_geom_gcn_split_id_3;fixed_geom_gcn_split_id_4;fixed_geom_gcn_split_id_5;fixed_geom_gcn_split_id_6;fixed_geom_gcn_split_id_7;fixed_geom_gcn_split_id_8;fixed_geom_gcn_split_id_9,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,92.39926739926739,1.06968348400093,70.1920438957476,2.1142932521178817,70.0219298245614,2.6599550362317146
cornell,fixed_dim64_energy095,10,1.0,0.0,0.7847457627118644,0.043798977273026694,0.7432432432432432,0.07122246982361216,87,59,37,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,78.47457627118644,4.379897727302669,74.32432432432432,7.122246982361216
cornell,no_highpass,10,1.0,0.0,0.7559322033898306,0.04317508062043572,0.7108108108108109,0.06626369567002988,87,59,37,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,75.59322033898306,4.317508062043572,71.0810810810811,6.626369567002987
cornell,no_p3,10,1.0,0.0,0.7966101694915254,0.04589852206009017,0.7513513513513514,0.06344798869066308,87,59,37,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,79.66101694915254,4.589852206009017,75.13513513513514,6.344798869066308
cornell,no_sym,10,1.0,0.0,0.7745762711864407,0.053029152679129096,0.7432432432432432,0.05589943083779664,87,59,37,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,77.45762711864407,5.302915267912909,74.32432432432432,5.589943083779664
cornell,pca_only,10,1.0,0.0,0.7050847457627119,0.06250538615113825,0.6675675675675675,0.07212835640089406,87,59,37,random_stratified_matching_fixed_split0_class_counts,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,100.0,0.0,70.50847457627118,6.250538615113825,66.75675675675676,7.212835640089406
