split,class_label,branch_index,confuser_class,seed_size,member_size,basis_dim,radius,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch,changed_when_removed_test,net_fix_test
8,1,2,2,22,81,32,4.507470141484019,0.3746604315842328,0.4852121635587883,17.36598824425027,2.195915214856192,2,0,2,0,0,0,0,0
8,2,1,3,32,86,32,4.602303973886777,0.5732166742336532,0.4301766004813191,24.508705844819982,2.1060119610563492,2,1,5,1,0,1,2,1
8,2,2,1,28,90,32,4.763620178774675,0.508794256655317,0.4852121635587883,17.36598824425027,2.195915214856192,2,0,0,0,0,0,0,0
8,3,1,2,28,103,32,4.771337618005916,0.45359852811397383,0.4301766004813191,24.508705844819982,2.1060119610563492,1,0,0,0,0,0,0,0
8,4,1,3,37,79,32,4.920129824964493,0.49142854583436346,0.3925971894807903,24.256881472394706,2.2926966950387486,3,1,0,1,0,0,1,1
9,0,1,1,25,95,48,4.732564283879359,0.27548086418103734,0.4543787849594317,14.4849565957361,2.8730051695912846,2,1,4,0,1,0,1,-1
9,0,2,2,20,84,48,5.006886214996541,0.33172044633443265,0.5669766916081095,16.49022144757423,1.516845060412947,3,0,0,0,0,2,2,0
9,1,1,0,35,102,48,4.911572623383292,0.38108385598740546,0.4543787849594317,14.4849565957361,2.8730051695912846,2,1,0,2,0,0,2,2
9,1,2,2,28,90,48,4.689445433213137,0.6441522426249875,0.4766583177302151,17.830104677536177,2.0024103998420357,1,0,2,1,0,0,1,1
9,2,1,3,28,86,48,4.602271954239958,0.9984084260278705,0.4508960145414731,23.049754452436556,1.6981096433021405,0,0,0,0,0,0,0,0
9,2,2,1,26,87,48,5.2999773271268005,0.8237581006112173,0.4766583177302151,17.830104677536177,2.0024103998420357,1,0,0,0,0,1,1,0
9,3,1,2,28,97,48,4.4252274240712435,0.6685322030832443,0.4508960145414731,23.049754452436556,1.6981096433021405,0,0,0,0,0,0,0,0
9,3,2,0,18,85,48,5.067035940985758,1.014631803539933,0.7733351109818107,24.517800172631446,0.5152676361584142,1,0,0,1,0,0,1,1
9,4,1,3,23,64,48,4.283840627279049,1.5631613117424061,0.4241071628314473,24.67005708666978,1.2952186666708423,0,0,0,1,0,0,1,1


