split,best_dim,class_label,branch_index,kind,confuser_class,basis_dim,member_size,radius,class_scale,extra_bias_scale,gate_strength,seed_size,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score
5,64,4,1,extra,3,64,68,4.402382569636744,2.79772200076137,0.1,2.5,21,1.523911498997642,0.4137286024212141,23.167424658908708,1.2613978183272478
6,24,0,0,root,,24,212,5.2582260008805095,2.0462331174899795,0.0,0.0,,,,,
6,24,1,0,root,,24,220,5.148650549079944,2.181859996456973,0.0,0.0,,,,,
6,24,1,1,extra,0,24,95,5.119606163822305,2.181859996456973,0.1,2.5,31,0.2979203141544948,0.4815222742592458,16.37688384791477,2.7503970149624353
6,24,1,2,extra,2,24,81,4.831158346041654,2.181859996456973,0.1,2.5,23,0.2366215894915107,0.5134479881288032,18.722732611791972,1.9060989115494213
6,24,2,0,root,,24,223,4.9110852260084465,3.125705558581826,0.0,0.0,,,,,
6,24,2,1,extra,0,24,86,5.210883921124669,3.125705558581826,0.1,2.5,30,0.46591335958001545,0.6158579456336697,18.53037992734617,1.3107207157376304
6,24,2,2,extra,3,24,85,4.601295591041602,3.125705558581826,0.1,2.5,28,0.5499919962965647,0.46019331414133313,26.889780609203996,1.4807562048423242
6,24,3,0,root,,24,251,4.8635618760180055,2.5219949795369097,0.0,0.0,,,,,
6,24,3,1,extra,2,24,93,4.449265597370112,2.5219949795369097,0.1,2.5,21,0.3067780386672918,0.46019331414133313,26.889780609203996,1.4807562048423242
6,24,4,0,root,,24,186,4.794265919081564,3.051112033126457,0.0,0.0,,,,,
6,24,4,1,extra,3,24,79,5.025838980235293,3.051112033126457,0.1,2.5,33,0.48655794004948305,0.42833933353139175,26.091617840445693,1.9072206266363432
7,32,0,0,root,,32,224,5.185409346024979,1.9607629116534837,0.0,0.0,,,,,
7,32,1,0,root,,32,206,5.041075917419417,2.3896151147587257,0.0,0.0,,,,,
7,32,1,1,extra,0,32,96,4.872193741761528,2.3896151147587257,0.1,2.5,39,0.4423964815518533,0.41672198732662,15.728272065247706,3.3505056979060424
7,32,1,2,extra,2,32,77,4.7590748241854195,2.3896151147587257,0.1,2.5,24,0.25650365080144155,0.4459408987908487,19.623514731372286,1.7373321076106398
7,32,2,0,root,,32,237,4.945296769211,2.8925550237729745,0.0,0.0,,,,,
7,32,2,1,extra,3,32,91,4.249437392858804,2.8925550237729745,0.1,2.5,34,0.6402689362696918,0.48669456301428393,23.47514376656479,1.7446635549581189
7,32,2,2,extra,0,32,88,5.274688164620273,2.8925550237729745,0.1,2.5,25,0.6551908515210737,0.5740120569759892,16.935167141809067,1.4249439684194765
7,32,3,0,root,,32,246,4.796557672875866,2.4674950260611044,0.0,0.0,,,,,
7,32,3,1,extra,2,32,96,4.395844943550124,2.4674950260611044,0.1,2.5,25,0.27742803307080677,0.48669456301428393,23.47514376656479,1.7446635549581189
7,32,3,2,extra,0,32,91,5.265472799724586,2.4674950260611044,0.1,2.5,15,0.6285089325079665,0.770300981572562,26.218926499394083,0.38474847872618584
7,32,4,0,root,,32,179,4.841738422452951,3.216010383975568,0.0,0.0,,,,,
7,32,4,1,extra,2,32,72,4.885841954274258,3.216010383975568,0.1,2.5,25,0.7089271496446421,0.41156658412368957,24.56745708972877,1.5370286113798652
