dataset,repeat,split_id,seed,split_policy,method,num_nodes,num_features,num_classes,train_size,val_size,test_size,lr,weight_decay,hidden_channels,dropout,train_acc,val_acc,test_acc,best_epoch,time_sec,params,selection_rule
amazon-computers,2,0,2,class_balanced_random_split_seed,graphsage,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.9449999928474426,0.8366666436195374,0.769770622253418,90,98.91,99530,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,2,0,2,class_balanced_random_split_seed,appnp,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.7749999761581421,0.7833333611488342,0.706233024597168,295,220.931,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,2,0,2,class_balanced_random_split_seed,gcnii,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.41999998688697815,0.4399999976158142,0.2506791353225708,225,559.084,82570,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,2,0,2,class_balanced_random_split_seed,correct_smooth,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,1.0,0.8399999737739563,0.7512073516845703,90,66.051,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,2,0,2,class_balanced_random_split_seed,linkx,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,1.0,0.6466666460037231,0.4026561975479126,85,25.599,942602,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,2,0,2,class_balanced_random_split_seed,mlp_prop,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.7900000214576721,0.7833333611488342,0.7020826935768127,225,125.26,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,2,0,2,class_balanced_random_split_seed,sign,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.9700000286102295,0.8500000238418579,0.7613945007324219,170,26.346,197066,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,3,0,3,class_balanced_random_split_seed,gat,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.7699999809265137,0.7766666412353516,0.7030636668205261,100,209.325,199710,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,3,0,3,class_balanced_random_split_seed,graphsage,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.9599999785423279,0.8799999952316284,0.7688650488853455,140,130.933,99530,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,3,0,3,class_balanced_random_split_seed,appnp,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.6850000023841858,0.7333333492279053,0.6125867962837219,180,163.542,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,3,0,3,class_balanced_random_split_seed,gcnii,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.3799999952316284,0.3799999952316284,0.43948084115982056,115,332.692,82570,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,3,0,3,class_balanced_random_split_seed,correct_smooth,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,1.0,0.8633333444595337,0.7815424203872681,75,59.024,49802,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,3,0,3,class_balanced_random_split_seed,linkx,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,1.0,0.6233333349227905,0.4156353771686554,40,17.084,942602,early_stop_by_postprocessed_val_acc_only_no_test
amazon-computers,3,0,3,class_balanced_random_split_seed,mlp_prop,13752,767,10,200,300,13252,0.01,0.0005,64,0.5,0.6700000166893005,0.7166666388511658,0.6190009117126465,115,75.56,49802,early_stop_by_postprocessed_val_acc_only_no_test
