experiment,dataset,split,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,pca_dims_json,selection_rule
E05,cornell,1,fixed_geom_gcn_split,no_p3,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,no_p3,"[0.05, 0.5, 5.0]",1.0,0.7796610169491526,0.7297297297297297,0.57,13624,"{""0"": 16, ""1"": 5, ""2"": 13, ""3"": 25, ""4"": 9}",ablation_grid_selected_by_val_only_no_test
E05,cornell,1,fixed_geom_gcn_split,no_sym,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_sym,"[0.05, 0.5, 5.0]",1.0,0.7627118644067796,0.7027027027027027,0.5633333333333332,10218,"{""0"": 16, ""1"": 5, ""2"": 13, ""3"": 25, ""4"": 9}",ablation_grid_selected_by_val_only_no_test
E05,cornell,1,fixed_geom_gcn_split,no_highpass,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_highpass,"[0.01, 0.1, 1.0]",1.0,0.7457627118644068,0.6486486486486487,0.5392307692307693,10218,"{""0"": 15, ""1"": 5, ""2"": 12, ""3"": 23, ""4"": 8}",ablation_grid_selected_by_val_only_no_test
E05,cornell,1,fixed_geom_gcn_split,pca_only,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.7457627118644068,0.6486486486486487,0.5392307692307693,15327,"{""0"": 16, ""1"": 5, ""2"": 13, ""3"": 25, ""4"": 9}",ablation_grid_selected_by_val_only_no_test
E05,cornell,1,fixed_geom_gcn_split,ridge_only,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.6949152542372882,0.7837837837837838,0.5366666666666666,15327,"{""0"": 16, ""1"": 5, ""2"": 13, ""3"": 25, ""4"": 9}",ablation_grid_selected_by_val_only_no_test
E05,cornell,1,fixed_geom_gcn_split,single_alpha,src_v16c_ablation,87,59,37,6000,64,0.99,"(1.0,)",0.6,full,[1.0],1.0,0.7627118644067796,0.6756756756756757,0.5546153846153846,15327,"{""0"": 18, ""1"": 5, ""2"": 15, ""3"": 33, ""4"": 9}",ablation_grid_selected_by_val_only_no_test
E05,cornell,1,fixed_geom_gcn_split,fixed_dim64_energy095,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.7457627118644068,0.7027027027027027,0.5566666666666666,15327,"{""0"": 16, ""1"": 5, ""2"": 13, ""3"": 25, ""4"": 9}",ablation_grid_selected_by_val_only_no_test
E05,cornell,1,fixed_geom_gcn_split,raw_only,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,raw_only,"[0.05, 0.5, 5.0]",1.0,0.7796610169491526,0.7297297297297297,0.57,1703,"{""0"": 16, ""1"": 4, ""2"": 14, ""3"": 31, ""4"": 9}",ablation_grid_selected_by_val_only_no_test
E05,cornell,1,fixed_geom_gcn_split,row_lowpass_only,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,row_lowpass_only,"[0.05, 0.5, 5.0]",1.0,0.7627118644067796,0.6756756756756757,0.5546153846153846,6812,"{""0"": 15, ""1"": 5, ""2"": 13, ""3"": 27, ""4"": 8}",ablation_grid_selected_by_val_only_no_test
E05,texas,0,fixed_geom_gcn_split,full,src_v16c_ablation,87,59,37,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.864406779661017,0.8378378378378378,0.7738095238095237,15327,"{""0"": 12, ""2"": 6, ""3"": 34, ""4"": 16}",ablation_grid_selected_by_val_only_no_test
