split,class_i,branch_i,kind_i,class_j,branch_j,kind_j,center_l2_distance,center_sq_distance,subspace_overlap_fro,mean_cos2_principal,min_principal_angle_deg
2,1,0,root,4,0,root,0.6965342175462932,0.48515991621282695,2.4808760005771506,0.1282238693799933,27.746498772635004
2,1,0,root,4,1,extra,1.0571489567061751,1.1175639166649547,1.8231932030525366,0.06925069699285351,40.85295791658559
2,1,0,root,4,2,extra,0.6344699707299495,0.4025521437580629,2.3306701861317296,0.11316715659423558,26.24281593414534
2,1,1,extra,1,2,extra,0.7476482004795895,0.5589778316803684,3.6586372015465507,0.2788672119279248,0.4205215676224635
2,1,1,extra,2,0,root,0.8715631881204876,0.7596223908867485,2.1312244156804154,0.09462744812484018,21.280147626387873
2,1,1,extra,2,1,extra,1.202795903953368,1.4467179865669997,1.7233766998883935,0.0618755677024627,23.831211735438654
2,1,1,extra,2,2,extra,0.5883372489240333,0.34614071847149996,2.3813733995264537,0.11814456808275374,22.75373952861408
2,1,1,extra,3,0,root,1.045224585073535,1.0924944332421438,1.9674180192528021,0.08064028463501292,30.371159370857857
2,1,1,extra,3,1,extra,1.4519827627575814,2.1082539433451384,1.194042913065658,0.029702884963381724,58.015116482602096
2,1,1,extra,4,0,root,1.0909859468327534,1.1902503361865595,1.9557744782132735,0.07968862103396672,28.178841097407066
2,1,1,extra,4,1,extra,1.424058232828832,2.0279418504875757,1.2684264999460462,0.0335188705367787,52.04194895023909
2,1,1,extra,4,2,extra,0.9055360500678373,0.8199955379724606,2.1696733682252574,0.09807255259970693,26.165003526528885
2,1,2,extra,2,0,root,0.47176340155092145,0.22256070704289588,2.8482654598954,0.16901283604235737,18.794528607812587
2,1,2,extra,2,1,extra,0.6611138464505754,0.43707151796867494,2.489339410259569,0.1291002229056554,19.63151114767366
2,1,2,extra,2,2,extra,0.741733187149829,0.5501681209194433,2.34643814289522,0.114703582467366,19.01000854083369
2,1,2,extra,3,0,root,0.6079075193711561,0.3695515521079926,2.467588281723188,0.12685399850203324,30.70587054083072
2,1,2,extra,3,1,extra,0.9499712493809704,0.9024453746504422,2.070268686986425,0.08929192575659368,39.62600510333634
2,1,2,extra,4,0,root,0.6178776384852944,0.38177277614016414,2.2741459408635323,0.10774457834054334,32.10626995863729
2,1,2,extra,4,1,extra,0.9139636376451585,0.8353295309375707,1.8683467382880936,0.07272332363482831,41.38693965526072
2,1,2,extra,4,2,extra,0.6993145063197659,0.48904077874925783,1.9763096396272026,0.08137082899340424,30.086864309296683
2,2,0,root,2,1,extra,0.44324811819352294,0.19646889428209932,4.6974847256281205,0.4597158905731146,0.6614054025668346
2,2,0,root,2,2,extra,0.665562030091912,0.442972815900067,3.9826480741554646,0.33044761838696307,0.9020940246129052
2,2,0,root,3,0,root,0.4474082686297373,0.20017415883825915,3.1457899518273584,0.20616655043787446,24.35502238698501
2,2,0,root,3,1,extra,0.7807880203366457,0.6096299327012183,2.7492728580736974,0.15746877600293155,28.008488395739988
2,2,0,root,4,0,root,0.4072243474201453,0.16583166913176323,2.880683213948076,0.17288199539837953,23.990975973175814
2,2,0,root,4,1,extra,0.7403867863426409,0.5481725933907833,2.163073926852764,0.09747685027146326,26.34334617160166
