dataset,method,train_per_class,n,val_mean,val_std,test_mean,test_std
texas,src_v16c,3,5,0.705050505050505,0.0777187234815004,0.663888888888889,0.23883235765224192
texas,src_v16c,5,5,0.7483870967741936,0.08821137334190832,0.6571428571428571,0.20677306894471612
texas,src_v16c,8,5,0.7904761904761906,0.028670463282838808,0.7492537313432835,0.10627452608309194
texas,src_v16c,10,5,0.8384615384615385,0.04213250442347434,0.836923076923077,0.04296689244236597
texas,src_v16c,15,5,0.8698412698412697,0.03619604524124248,0.7966666666666666,0.04915960401250876
texas,src_v16c,20,5,0.8807692307692309,0.058329811108088825,0.8363636363636363,0.06165754530113879
wisconsin,ridge_multihop5,1,5,0.3641025641025641,0.06181088797184458,0.37364341085271324,0.11568322790359897
wisconsin,ridge_multihop5,2,5,0.4649122807017544,0.04600038807763824,0.41259842519685036,0.15080333379368963
wisconsin,ridge_multihop5,3,5,0.5387387387387388,0.12873744632718018,0.5904,0.1684185262968418
wisconsin,ridge_multihop5,5,5,0.6323809523809525,0.06953033237502466,0.6545454545454545,0.1098583076344288
wisconsin,ridge_multihop5,8,5,0.6979166666666667,0.04357604304864973,0.688695652173913,0.06605262266028852
wisconsin,ridge_multihop5,10,5,0.7586956521739131,0.03796575912298474,0.7585585585585586,0.05072320093787115
wisconsin,ridge_multihop5,15,5,0.7731707317073171,0.04363059468292276,0.7900990099009901,0.0758573517203087
wisconsin,ridge_multihop5,20,5,0.8191780821917808,0.06381268328138144,0.8175824175824176,0.06341335404946594
wisconsin,ridge_raw,1,5,0.4683760683760684,0.05106792904714414,0.5364341085271318,0.25115561287475313
wisconsin,ridge_raw,2,5,0.6070175438596491,0.06777699569151527,0.611023622047244,0.14894174823496847
wisconsin,ridge_raw,3,5,0.6558558558558558,0.09349424370536656,0.616,0.11906300852909774
wisconsin,ridge_raw,5,5,0.7523809523809524,0.0579310717171259,0.7355371900826446,0.13592466283800436
wisconsin,ridge_raw,8,5,0.8020833333333334,0.036084391824351594,0.7930434782608695,0.13999729946085637
wisconsin,ridge_raw,10,5,0.8043478260869564,0.017186291631349868,0.809009009009009,0.1078073895614529
wisconsin,ridge_raw,15,5,0.875609756097561,0.02003863015262804,0.8653465346534654,0.03542285904950161
wisconsin,ridge_raw,20,5,0.9041095890410957,0.0216594360285505,0.8703296703296705,0.0314677386006074
wisconsin,src_v16c,1,5,0.3504273504273504,0.04187161953475515,0.35968992248062015,0.11776824195245236
wisconsin,src_v16c,2,5,0.5,0.060456354175834316,0.4236220472440945,0.14975127662524185
wisconsin,src_v16c,3,5,0.5441441441441441,0.09798721031480162,0.592,0.15676734353812335
wisconsin,src_v16c,5,5,0.6304761904761904,0.08969588326073218,0.6214876033057851,0.1650204425682024
wisconsin,src_v16c,8,5,0.71875,0.03827327723098714,0.6956521739130436,0.03478260869565219
wisconsin,src_v16c,10,5,0.7521739130434784,0.04885261968313965,0.7171171171171171,0.04108740270627523
wisconsin,src_v16c,15,5,0.7609756097560976,0.07347497722630278,0.7425742574257426,0.09287951999650355
wisconsin,src_v16c,20,5,0.832876712328767,0.05340709230032309,0.8043956043956044,0.06611696244611569
