experiment,dataset,train_per_class,repeat,seed,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,selection_rule,alpha
E11,chameleon,15,0,26000,src_v16c,75,150,2052,4000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.5266666666666666,0.48927875243664715,0.5266666666666666,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,15,0,26000,ridge_raw,75,150,2052,,,,,,,,,0.29333333333333333,0.32992202729044834,,,alpha_selected_by_val_only_no_test,0.1
E11,chameleon,15,0,26000,ridge_multihop5,75,150,2052,,,,,,,,,0.5066666666666667,0.48050682261208577,,,alpha_selected_by_val_only_no_test,0.1
E11,chameleon,15,1,26001,src_v16c,75,150,2052,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.4533333333333333,0.45077972709551656,0.4533333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,15,1,26001,ridge_raw,75,150,2052,,,,,,,,,0.36666666666666664,0.3391812865497076,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,15,1,26001,ridge_multihop5,75,150,2052,,,,,,,,,0.44666666666666666,0.4346978557504873,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,15,2,26002,src_v16c,75,150,2052,6000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.46,0.4502923976608187,0.45999999999999996,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,15,2,26002,ridge_raw,75,150,2052,,,,,,,,,0.36,0.34941520467836257,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,15,2,26002,ridge_multihop5,75,150,2052,,,,,,,,,0.46,0.43664717348927873,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,15,3,26003,src_v16c,75,150,2052,6000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.42,0.4678362573099415,0.42000000000000004,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,15,3,26003,ridge_raw,75,150,2052,,,,,,,,,0.29333333333333333,0.34405458089668617,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,15,3,26003,ridge_multihop5,75,150,2052,,,,,,,,,0.4533333333333333,0.4615009746588694,,,alpha_selected_by_val_only_no_test,0.1
E11,chameleon,15,4,26004,src_v16c,75,150,2052,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.4533333333333333,0.49707602339181284,0.4533333333333333,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,15,4,26004,ridge_raw,75,150,2052,,,,,,,,,0.3333333333333333,0.32992202729044834,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,15,4,26004,ridge_multihop5,75,150,2052,,,,,,,,,0.4266666666666667,0.4926900584795322,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,20,0,31000,src_v16c,100,150,2027,4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.5333333333333333,0.493339911198816,0.5333333333333334,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,20,0,31000,ridge_raw,100,150,2027,,,,,,,,,0.38,0.3364578194375925,,,alpha_selected_by_val_only_no_test,10.0
E11,chameleon,20,0,31000,ridge_multihop5,100,150,2027,,,,,,,,,0.5,0.4533793783917119,,,alpha_selected_by_val_only_no_test,0.01
E11,chameleon,20,1,31001,src_v16c,100,150,2027,4000,64,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.98,0.5666666666666667,0.4962999506660089,0.5666666666666667,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,20,1,31001,ridge_raw,100,150,2027,,,,,,,,,0.3933333333333333,0.36655155402072026,,,alpha_selected_by_val_only_no_test,0.1
E11,chameleon,20,1,31001,ridge_multihop5,100,150,2027,,,,,,,,,0.5266666666666666,0.47113961519486924,,,alpha_selected_by_val_only_no_test,1.0
E11,chameleon,20,2,31002,src_v16c,100,150,2027,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.98,0.46,0.4849531327084361,0.45999999999999996,20925,fewshot_grid_selected_by_val_only_no_test,
E11,chameleon,20,2,31002,ridge_raw,100,150,2027,,,,,,,,,0.36666666666666664,0.34731129748396644,,,alpha_selected_by_val_only_no_test,0.1
